TICKET;EMPRESA;SETOR;SEGMENTO
AALR3;CENTRO DE IMAGEM DIAGNOSTICOS S.A.;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos
ABCB4;BCO ABC BRASIL S.A.;Financeiro;Bancos
ABEV3;AMBEV S.A.;Consumo não Cíclico;Cervejas e Refrigerantes
ADHM3;ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos
AERI3;AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A;Bens Industriais;Máq. e Equip. Industriais
AESB3;AES BRASIL ENERGIA S.A.;Utilidade Pública;Energia Elétrica
AFLT3;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A;Utilidade Pública;Energia Elétrica
AGRO3;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;Consumo não Cíclico;Agricultura
AHEB3;SAO PAULO TURISMO S.A.;Consumo Cíclico;Produção de Eventos e Shows
AHEB5;SAO PAULO TURISMO S.A.;Consumo Cíclico;Produção de Eventos e Shows
AHEB6;SAO PAULO TURISMO S.A.;Consumo Cíclico;Produção de Eventos e Shows
ALLD3;ALLIED TECNOLOGIA S.A.;Consumo Cíclico;Eletrodomésticos
ALPA3;ALPARGATAS S.A.;Consumo Cíclico;Calçados
ALPA4;ALPARGATAS S.A.;Consumo Cíclico;Calçados
ALPK3;ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A;Bens Industriais;Serviços Diversos
ALSO3;ALIANSCE SONAE SHOPPING CENTERS S.A.;Financeiro;Exploração de Imóveis
ALUP11;ALUPAR INVESTIMENTO S/A;Utilidade Pública;Energia Elétrica
ALUP3;ALUPAR INVESTIMENTO S/A;Utilidade Pública;Energia Elétrica
ALUP4;ALUPAR INVESTIMENTO S/A;Utilidade Pública;Energia Elétrica
AMAR3;MARISA LOJAS S.A.;Consumo Cíclico;Tecidos. Vestuário e Calçados
AMBP3;AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A;Utilidade Pública;água e Saneamento
ANIM3;ANIMA HOLDING S.A.;Consumo Cíclico;Serviços Educacionais
APER3;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;Financeiro;Corretoras de Seguros
ARZZ3;AREZZO INDÚSTRIA E COMÉRCIO S.A.;Consumo Cíclico;Tecidos. Vestuário e Calçados
ASAI3;SENDAS DISTRIBUIDORA S.A.;Consumo não Cíclico;Alimentos
ATMP3;ATMA PARTICIPAÇÕES S.A.;Bens Industriais;Serviços Diversos
ATOM3;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Outros;Outros
AVLL3;ALPHAVILLE S.A.;Consumo Cíclico;Incorporações
AZEV3;AZEVEDO E TRAVASSOS S.A.;Bens Industriais;Construção Pesada
AZEV4;AZEVEDO E TRAVASSOS S.A.;Bens Industriais;Construção Pesada
AZUL4;AZUL S.A.;Bens Industriais;Transporte Aéreo
B3SA3;B3 S.A. - BRASIL. BOLSA. BALCÃO;Financeiro;Serviços Financeiros Diversos
BAHI3;BAHEMA EDUCAÇÃO S.A.;Consumo Cíclico;Serviços Educacionais
BALM3;BAUMER S.A.;Saúde;Equipamentos
BALM4;BAUMER S.A.;Saúde;Equipamentos
BAUH4;EXCELSIOR ALIMENTOS S.A.;Consumo não Cíclico;Carnes e Derivados
BAZA3;BCO AMAZONIA S.A.;Financeiro;Bancos
BBAS3;BCO BRASIL S.A.;Financeiro;Bancos
BBDC3;BCO BRADESCO S.A.;Financeiro;Bancos
BBDC4;BCO BRADESCO S.A.;Financeiro;Bancos
BBRK3;BRASIL BROKERS PARTICIPACOES S.A.;Financeiro;Intermediação Imobiliária
BBSE3;BB SEGURIDADE PARTICIPAÇÕES S.A.;Financeiro;Seguradoras
BDLL3;BARDELLA S.A. INDUSTRIAS MECANICAS;Bens Industriais;Máq. e Equip. Industriais
BDLL4;BARDELLA S.A. INDUSTRIAS MECANICAS;Bens Industriais;Máq. e Equip. Industriais
BEEF3;MINERVA S.A.;Consumo não Cíclico;Carnes e Derivados
BEES3;BANESTES S.A. - BCO EST ESPIRITO SANTO;Financeiro;Bancos
BEES4;BANESTES S.A. - BCO EST ESPIRITO SANTO;Financeiro;Bancos
BGIP3;BCO ESTADO DE SERGIPE S.A. - BANESE;Financeiro;Bancos
BGIP4;BCO ESTADO DE SERGIPE S.A. - BANESE;Financeiro;Bancos
BIDI11;BANCO INTER S.A.;Financeiro;Bancos
BIDI3;BANCO INTER S.A.;Financeiro;Bancos
BIDI4;BANCO INTER S.A.;Financeiro;Bancos
BIOM3;BIOMM S.A.;Saúde;Medicamentos e Outros Produtos
BKBR3;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES SA;Consumo Cíclico;Restaurante e Similares
BLAU3;BLAU FARMACÊUTICA S.A.;Saúde;Medicamentos e Outros Produtos
BMEB3;BCO MERCANTIL DO BRASIL S.A.;Financeiro;Bancos
BMEB4;BCO MERCANTIL DO BRASIL S.A.;Financeiro;Bancos
BMGB4;BANCO BMG S.A.;Financeiro;Bancos
BMIN3;BCO MERCANTIL DE INVESTIMENTOS S.A.;Financeiro;Bancos
BMIN4;BCO MERCANTIL DE INVESTIMENTOS S.A.;Financeiro;Bancos
BMKS3;BICICLETAS MONARK S.A.;Consumo Cíclico;Bicicletas
BMOB3;BEMOBI MOBILE TECH S.A.;Tecnologia da Informação;Programas e Serviços
BNBR3;BCO NORDESTE DO BRASIL S.A.;Financeiro;Bancos
BOAS3;BOA VISTA SERVIÇOS S.A.;Financeiro;Serviços Financeiros Diversos
BOBR3;BOMBRIL S.A.;Consumo não Cíclico;Produtos de Limpeza
BOBR4;BOMBRIL S.A.;Consumo não Cíclico;Produtos de Limpeza
BPAC11;BCO BTG PACTUAL S.A.;Financeiro;Bancos
BPAC3;BCO BTG PACTUAL S.A.;Financeiro;Bancos
