TICKET;EMPRESA;SETOR;SEGMENTO;DIV ULT;DIV MEDIO;DIV MEDIANA;PRECO ATUAL;TAXA ULT;TAXA M;TAXA MD
AALR3;CENTRO DE IMAGEM DIAGNOSTICOS S.A.;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos;0;0.01;0.0;20;0.0;0.05;0.0
ABCB4;BCO ABC BRASIL S.A.;Financeiro;Bancos;1.0;0.69;0.75;15.91;6.29;4.34;4.71
ABEV3;AMBEV S.A.;Consumo não Cíclico;Cervejas e Refrigerantes;0.68;0.62;0.55;13.59;5.0;4.56;4.05
ADHM3;ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.;Saúde;Serv.Méd.Hospit..Análises e Diagnósticos;0;0.0;0.0;1.56;0.0;0.0;0.0
AERI3;AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A;Bens Industriais;Máq. e Equip. Industriais;0;0;0.0;3.09;0.0;0.0;0.0
AESB3;AES BRASIL ENERGIA S.A.;Utilidade Pública;Energia Elétrica;0.23;0.02;0.0;10.43;2.21;0.19;0.0
AFLT3;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A;Utilidade Pública;Energia Elétrica;0.31;0.3;0.28;9.09;3.41;3.3;3.08
AGRO3;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;Consumo não Cíclico;Agricultura;2.62;0.74;0.65;28.98;9.04;2.55;2.24
ALLD3;ALLIED TECNOLOGIA S.A.;Consumo Cíclico;Eletrodomésticos;0.76;0.08;0.0;11.34;6.7;0.71;0.0
ALPA3;ALPARGATAS S.A.;Consumo Cíclico;Calçados;0.25;0.22;0.22;17.18;1.46;1.28;1.28
ALPA4;ALPARGATAS S.A.;Consumo Cíclico;Calçados;0.27;0.2;0.22;19.23;1.4;1.04;1.14
ALSO3;ALIANSCE SONAE SHOPPING CENTERS S.A.;Financeiro;Exploração de Imóveis;0.23;0.02;0.0;17.91;1.28;0.11;0.0
ALUP11;ALUPAR INVESTIMENTO S/A;Utilidade Pública;Energia Elétrica;0.84;0.27;0.0;25.96;3.24;1.04;0.0
ALUP3;ALUPAR INVESTIMENTO S/A;Utilidade Pública;Energia Elétrica;0.28;0.11;0.07;8.7;3.22;1.26;0.8
ALUP4;ALUPAR INVESTIMENTO S/A;Utilidade Pública;Energia Elétrica;0.28;0.11;0.07;8.8;3.18;1.25;0.8
AMAR3;MARISA LOJAS S.A.;Consumo Cíclico;Tecidos. Vestuário e Calçados;0;0.07;0.0;2.05;0.0;3.41;0.0
AMBP3;AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A;Utilidade Pública;água e Saneamento;0.09;0.01;0.0;25.55;0.35;0.04;0.0
ANIM3;ANIMA HOLDING S.A.;Consumo Cíclico;Serviços Educacionais;0.0;0.08;0.01;4.99;0.0;1.6;0.2
APER3;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;Financeiro;Corretoras de Seguros;0;0.28;0.0;32.33;0.0;0.87;0.0
ARZZ3;AREZZO INDÚSTRIA E COMÉRCIO S.A.;Consumo Cíclico;Tecidos. Vestuário e Calçados;0.93;0.91;0.88;73.44;1.27;1.24;1.2
ASAI3;SENDAS DISTRIBUIDORA S.A.;Consumo não Cíclico;Alimentos;0.36;0.04;0.0;15.04;2.39;0.27;0.0
ATMP3;ATMA PARTICIPAÇÕES S.A.;Bens Industriais;Serviços Diversos;0;0.27;0.0;1.55;0.0;17.42;0.0
ATOM3;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Outros;Outros;0.3;0.03;0.0;2.55;11.76;1.18;0.0
AZEV3;AZEVEDO E TRAVASSOS S.A.;Bens Industriais;Construção Pesada;0;0.02;0.0;3.24;0.0;0.62;0.0
AZEV4;AZEVEDO E TRAVASSOS S.A.;Bens Industriais;Construção Pesada;0;0.04;0.0;2.44;0.0;1.64;0.0
B3SA3;B3 S.A. - BRASIL. BOLSA. BALCÃO;Financeiro;Serviços Financeiros Diversos;0.98;0.69;0.67;11.66;8.4;5.92;5.75
BAHI3;BAHEMA EDUCAÇÃO S.A.;Consumo Cíclico;Serviços Educacionais;0.0;0.41;0.25;12.8;0.0;3.2;1.95
BALM3;BAUMER S.A.;Saúde;Equipamentos;0.34;0.36;0.22;14.42;2.36;2.5;1.53
BALM4;BAUMER S.A.;Saúde;Equipamentos;0.41;0.42;0.27;10.7;3.83;3.93;2.52
BAUH4;EXCELSIOR ALIMENTOS S.A.;Consumo não Cíclico;Carnes e Derivados;0.67;0.37;0.41;77.86;0.86;0.48;0.53
BAZA3;BCO AMAZONIA S.A.;Financeiro;Bancos;2.6;1.64;0.76;41;6.34;4.0;1.85
BBAS3;BCO BRASIL S.A.;Financeiro;Bancos;2.27;1.74;1.59;34.55;6.57;5.04;4.6
BBDC3;BCO BRADESCO S.A.;Financeiro;Bancos;0.94;0.75;0.71;15.91;5.91;4.71;4.46
BBDC4;BCO BRADESCO S.A.;Financeiro;Bancos;1.04;0.97;0.83;19.11;5.44;5.08;4.34
BBRK3;BRASIL BROKERS PARTICIPACOES S.A.;Financeiro;Intermediação Imobiliária;0;0.14;0.0;0.8;0.0;17.5;0.0
BBSE3;BB SEGURIDADE PARTICIPAÇÕES S.A.;Financeiro;Seguradoras;1.0;1.64;1.61;24.6;4.07;6.67;6.54
BDLL3;BARDELLA S.A. INDUSTRIAS MECANICAS;Bens Industriais;Máq. e Equip. Industriais;0;1.18;0.0;11;0.0;10.73;0.0
BDLL4;BARDELLA S.A. INDUSTRIAS MECANICAS;Bens Industriais;Máq. e Equip. Industriais;0;2.34;0.0;8.5;0.0;27.53;0.0
BEEF3;MINERVA S.A.;Consumo não Cíclico;Carnes e Derivados;1.12;0.18;0.0;13.93;8.04;1.29;0.0
BEES3;BANESTES S.A. - BCO EST ESPIRITO SANTO;Financeiro;Bancos;0.33;0.17;0.19;5.16;6.4;3.29;3.68
BEES4;BANESTES S.A. - BCO EST ESPIRITO SANTO;Financeiro;Bancos;0.33;0.18;0.2;5.26;6.27;3.42;3.8
BGIP3;BCO ESTADO DE SERGIPE S.A. - BANESE;Financeiro;Bancos;1.13;1.52;1.28;29.46;3.84;5.16;4.34
BGIP4;BCO ESTADO DE SERGIPE S.A. - BANESE;Financeiro;Bancos;1.25;1.81;1.4;19.15;6.53;9.45;7.31
BIDI3;BANCO INTER S.A.;Financeiro;Bancos;0.02;0.01;0.0;3.43;0.58;0.29;0.0
BIDI4;BANCO INTER S.A.;Financeiro;Bancos;0.02;0.03;0.0;3.58;0.56;0.84;0.0
BIOM3;BIOMM S.A.;Saúde;Medicamentos e Outros Produtos;0;0.0;0.0;10.01;0.0;0.0;0.0
BKBR3;BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES SA;Consumo Cíclico;Restaurante e Similares;0;0.02;0.0;6.51;0.0;0.31;0.0
BLAU3;BLAU FARMACÊUTICA S.A.;Saúde;Medicamentos e Outros Produtos;0.25;0.02;0.0;25.94;0.96;0.08;0.0
BMEB3;BCO MERCANTIL DO BRASIL S.A.;Financeiro;Bancos;1.18;0.37;0.18;12.36;9.55;2.99;1.46
BMEB4;BCO MERCANTIL DO BRASIL S.A.;Financeiro;Bancos;1.3;0.67;0.66;10.23;12.71;6.55;6.45
BMGB4;BANCO BMG S.A.;Financeiro;Bancos;0.32;0.07;0.0;2.63;12.17;2.66;0.0
BMIN3;BCO MERCANTIL DE INVESTIMENTOS S.A.;Financeiro;Bancos;0;0.21;0.01;20;0.0;1.05;0.05
BMIN4;BCO MERCANTIL DE INVESTIMENTOS S.A.;Financeiro;Bancos;1.95;0.95;0.93;14.34;13.6;6.62;6.49
BMKS3;BICICLETAS MONARK S.A.;Consumo Cíclico;Bicicletas;7.93;23.8;23.05;249.87;3.17;9.52;9.22
BNBR3;BCO NORDESTE DO BRASIL S.A.;Financeiro;Bancos;4.78;2.25;1.77;70;6.83;3.21;2.53
BOAS3;BOA VISTA SERVIÇOS S.A.;Financeiro;Serviços Financeiros Diversos;0.09;0.01;0.0;5.57;1.62;0.18;0.0
BPAC11;BCO BTG PACTUAL S.A.;Financeiro;Bancos;0.86;0.55;0.34;22.43;3.83;2.45;1.52
